proposal_id,pi,count
1063,"Sunnquist, Ben",3745
1076,"Pirzkal, Norbert",887
1089,"Martel, Andre",252
1160,"Perrin, Marshall",140
1176,"Windhorst, Rogier A.",1380
1180,"Eisenstein, Daniel J.",3828
1181,"Eisenstein, Daniel J.",3924
1207,"Rieke, George",492
1208,"Willott, Chris J.",5170
1210,"Luetzgendorf, Nora",720
1243,"Lilly, Simon J.",4380
1283,"Oestlin, Goeran",462
1286,"Luetzgendorf, Nora",450
1324,"Treu, Tommaso L.",1240
1328,"Armus, Lee",231
1334,"Weisz, Daniel R.",327
1345,"Finkelstein, Steven L.",2125
1355,"Rigby, Jane R.",249
1433,"Coe, Dan",160
1475,"Boyer, Martha L.",583
1476,"Boyer, Martha L.",1698
1479,"Boyer, Martha L.",36
1521,"Garcia Marin, Macarena",324
1536,"Gordon, Karl D.",260
1567,"Fujimoto, Seiji",120
1571,"Malkan, Matthew A.",635
1727,"Kartaltepe, Jeyhan",7084
1764,"Fan, Xiaohui",1041
1837,"Dunlop, James S.",8734
1869,"Schaerer, Daniel",160
1895,"Oesch, Pascal",1760
1933,"Matthee, Jorryt",1080
1963,"Williams, Christina C",528
2078,"Wang, Feige",2391
2079,"Finkelstein, Steven L.",770
2107,"Lee, Janice",3216
2180,"De Looze, Ilse",550
2198,"Barrufet, Laia",240
2279,"Naidu, Rohan",220
2282,"Coe, Dan",240
2321,"Best, Philip N.",180
2362,"Marsan, Cemile",120
2514,"Williams, Christina",3960
2561,"Labbe, Ivo",2839
2727,"Pontoppidan, Klaus M.",144
2730,"Pontoppidan, Klaus M.",202
2732,"Pontoppidan, Klaus M.",1014
2736,"Pontoppidan, Klaus M.",358
2738,"Windhorst, Rogier A.",408
2739,"Pontoppidan, Klaus M.",1750
2750,"Arrabal Haro, Pablo",90
2756,"Chen, Wenlei",240
2767,"Kelly, Patrick",120
2883,"Sun, Fengwu",154
4434,"Levan, Andrew James",90
4443,"Sunnquist, Ben",176
4445,"Levan, Andrew James",70
4446,"Frye, Brenda Louise",120
